Country_Name,Country_Code,Year,GDP_usd,GDP_grow,GDP_per_capita_usd,Inflation,Unemployment_female,Unemployment_male,Unemployment_total,Mortality_rate_infant,Deposit_interest_rate,Lending_interest_rate,Trade_per_GDP,Access_to_electricity,Access_electricity_urban,Access_electricity_rural,Life_expectancy_birth_total,year
Switzerland,CHE,2011,7.16E+11,1.813108192,90476.75897,0.231349208,4.8,4.08,4.41,3.9,0.055833333,2.718333333,125.5562732,100,100,100,82.7,1/1/2011
Switzerland,CHE,2012,6.86E+11,1.179253833,85836.20768,-0.692552018,4.74,4.28,4.49,3.8,0.038333333,2.688333333,126.4538605,100,100,100,82.7,1/1/2012
Switzerland,CHE,2013,7.06E+11,1.792144057,87304.33058,-0.217323155,4.92,4.6,4.75,3.8,0.033333333,2.689166667,133.6937084,100,100,100,82.8,1/1/2013
Switzerland,CHE,2014,7.27E+11,2.349881275,88724.99094,-0.013202539,4.99,4.69,4.83,3.8,0.029166667,2.69,120.2134234,100,100,100,83.2,1/1/2014
Switzerland,CHE,2015,6.94E+11,1.644627687,83806.4476,-1.143908672,4.91,4.7,4.8,3.7,-0.1425,2.680833333,117.1384822,100,100,100,82.9,1/1/2015
Switzerland,CHE,2016,6.88E+11,2.068689667,82153.07454,-0.434618664,5.01,4.84,4.92,3.7,-0.200833333,2.646666667,123.5659245,100,100,100,83.6,1/1/2016
Switzerland,CHE,2017,6.95E+11,1.362799557,82254.37693,0.53378784,5.06,4.57,4.8,3.6,-0.271760461,2.627438678,123.6218076,100,100,100,83.55,1/1/2017
Switzerland,CHE,2018,7.26E+11,2.860445795,85216.64295,0.936335464,5.11,4.37,4.71,3.6,-0.315815476,2.627425593,124.4285043,100,100,100,83.75,1/1/2018
Switzerland,CHE,2019,7.21E+11,1.141982325,84121.93103,0.36288618,4.71,4.11,4.39,3.5,-0.351080897,2.63292318,124.1276122,100,100,100,83.9,1/1/2019
Switzerland,CHE,2020,7.40E+11,-2.37556328,85656.32267,-0.725874933,5,4.66,4.82,3.4,-0.383657406,2.634846704,122.1656559,100,100,100,83,1/1/2020
